query_id	query_text	relevant_doc_id	relevance_score	judgment
Q0001	vector database comparison	D00500	0.672	partially_relevant
Q0002	natural language processing	D00390	0.716	relevant
Q0003	natural language processing	D00354	0.936	partially_relevant
Q0004	natural language processing	D00098	0.301	relevant
Q0005	vector database comparison	D00268	0.137	relevant
Q0006	RAG implementation patterns	D00319	0.58	partially_relevant
Q0007	embedding model selection	D00029	0.104	not_relevant
Q0008	document chunking strategies	D00077	0.682	partially_relevant
Q0009	semantic search optimization	D00136	0.056	partially_relevant
Q0010	machine learning deployment	D00013	0.074	not_relevant
Q0011	vector database comparison	D00287	0.145	partially_relevant
Q0012	embedding model selection	D00419	0.497	not_relevant
Q0013	natural language processing	D00336	0.371	not_relevant
Q0014	document chunking strategies	D00058	0.254	partially_relevant
Q0015	semantic search optimization	D00349	0.336	not_relevant
Q0016	vector database comparison	D00450	0.922	not_relevant
Q0017	LLM fine-tuning guide	D00286	0.787	partially_relevant
Q0018	LLM fine-tuning guide	D00064	0.257	not_relevant
Q0019	RAG implementation patterns	D00353	0.938	not_relevant
Q0020	machine learning deployment	D00389	0.244	not_relevant
Q0021	semantic search optimization	D00348	0.562	partially_relevant
Q0022	machine learning deployment	D00128	0.946	relevant
Q0023	vector database comparison	D00190	0.446	partially_relevant
Q0024	semantic search optimization	D00342	0.774	partially_relevant
Q0025	LLM fine-tuning guide	D00221	0.043	not_relevant
Q0026	document chunking strategies	D00026	0.362	relevant
Q0027	semantic search optimization	D00432	0.505	relevant
Q0028	embedding model selection	D00039	0.197	relevant
Q0029	document chunking strategies	D00172	0.76	not_relevant
Q0030	natural language processing	D00368	0.25	relevant
Q0031	embedding model selection	D00475	0.832	not_relevant
Q0032	natural language processing	D00370	0.254	not_relevant
Q0033	LLM fine-tuning guide	D00326	0.515	not_relevant
Q0034	machine learning deployment	D00096	0.065	partially_relevant
Q0035	LLM fine-tuning guide	D00109	0.966	not_relevant
Q0036	semantic search optimization	D00459	0.869	not_relevant
Q0037	LLM fine-tuning guide	D00391	0.177	relevant
Q0038	RAG implementation patterns	D00361	0.143	partially_relevant
Q0039	machine learning deployment	D00404	0.572	not_relevant
Q0040	semantic search optimization	D00273	0.31	partially_relevant
Q0041	RAG implementation patterns	D00201	0.124	partially_relevant
Q0042	semantic search optimization	D00396	0.594	not_relevant
Q0043	machine learning deployment	D00398	0.193	relevant
Q0044	embedding model selection	D00037	0.821	relevant
Q0045	embedding model selection	D00425	0.345	relevant
Q0046	document chunking strategies	D00205	0.632	partially_relevant
Q0047	vector database comparison	D00295	0.378	relevant
Q0048	machine learning deployment	D00312	0.593	partially_relevant
Q0049	semantic search optimization	D00424	0.068	partially_relevant
Q0050	RAG implementation patterns	D00259	0.511	partially_relevant
Q0051	LLM fine-tuning guide	D00002	0.136	partially_relevant
Q0052	vector database comparison	D00282	0.138	relevant
Q0053	vector database comparison	D00044	0.883	not_relevant
Q0054	RAG implementation patterns	D00012	0.056	not_relevant
Q0055	embedding model selection	D00074	0.674	relevant
Q0056	LLM fine-tuning guide	D00489	0.797	not_relevant
Q0057	document chunking strategies	D00145	0.641	not_relevant
Q0058	LLM fine-tuning guide	D00073	0.122	relevant
Q0059	RAG implementation patterns	D00348	0.128	not_relevant
Q0060	RAG implementation patterns	D00203	0.488	partially_relevant
Q0061	embedding model selection	D00381	0.263	not_relevant
Q0062	semantic search optimization	D00427	0.943	not_relevant
Q0063	LLM fine-tuning guide	D00213	0.987	partially_relevant
Q0064	natural language processing	D00128	0.545	not_relevant
Q0065	vector database comparison	D00481	0.514	relevant
Q0066	semantic search optimization	D00285	0.846	not_relevant
Q0067	vector database comparison	D00436	0.84	partially_relevant
Q0068	LLM fine-tuning guide	D00028	0.353	relevant
Q0069	embedding model selection	D00033	0.679	partially_relevant
Q0070	semantic search optimization	D00010	0.395	partially_relevant
Q0071	document chunking strategies	D00348	0.805	relevant
Q0072	machine learning deployment	D00291	0.134	partially_relevant
Q0073	LLM fine-tuning guide	D00362	0.274	not_relevant
Q0074	vector database comparison	D00188	0.032	not_relevant
Q0075	document chunking strategies	D00302	0.352	partially_relevant
Q0076	machine learning deployment	D00180	0.723	partially_relevant
Q0077	embedding model selection	D00184	0.848	relevant
Q0078	machine learning deployment	D00158	0.072	partially_relevant
Q0079	natural language processing	D00192	0.911	relevant
Q0080	machine learning deployment	D00050	0.805	partially_relevant
Q0081	natural language processing	D00261	0.767	not_relevant
Q0082	machine learning deployment	D00153	0.284	relevant
Q0083	document chunking strategies	D00399	0.187	partially_relevant
Q0084	semantic search optimization	D00183	0.893	not_relevant
Q0085	semantic search optimization	D00283	0.167	not_relevant
Q0086	LLM fine-tuning guide	D00291	0.4	relevant
Q0087	LLM fine-tuning guide	D00249	0.65	relevant
Q0088	machine learning deployment	D00128	0.897	partially_relevant
Q0089	machine learning deployment	D00212	0.856	not_relevant
Q0090	natural language processing	D00195	0.138	not_relevant
Q0091	machine learning deployment	D00494	0.328	partially_relevant
Q0092	semantic search optimization	D00489	0.15	not_relevant
Q0093	LLM fine-tuning guide	D00344	0.714	relevant
Q0094	RAG implementation patterns	D00021	0.13	partially_relevant
Q0095	natural language processing	D00221	0.381	relevant
Q0096	document chunking strategies	D00440	0.225	relevant
Q0097	document chunking strategies	D00029	0.677	partially_relevant
Q0098	embedding model selection	D00092	0.372	partially_relevant
Q0099	embedding model selection	D00135	0.776	not_relevant
Q0100	machine learning deployment	D00018	0.82	not_relevant
